date,symbol,yahoo_average_projected,yahoo_std_projected,yahoo_analyst_projections_count,yahoo_projections
2026-01-09,ACGL,2.1,6.2225,2,Evercore ISI Group:6.5|Goldman Sachs:-2.3
2026-01-09,AMCR,19.8,,1,Baird:19.8
2026-01-09,AME,9.3,,1,Mizuho:9.3
2026-01-09,AOS,5.7,,1,Jefferies:5.7
2026-01-09,APTV,18.5,,1,Piper Sandler:18.5
2026-01-09,BDX,35.9,,1,Stifel:35.9
2026-01-09,BMY,17.7,,1,UBS:17.7
2026-01-09,CARR,30.3,2.4042,2,UBS:32|Mizuho:28.6
2026-01-09,CLX,-6.7,,1,Goldman Sachs:-6.7
2026-01-09,CMCSA,58,,1,Benchmark:58
2026-01-09,CMG,29.3,,1,Truist Securities:29.3
2026-01-09,COP,-2.2,,1,Bernstein:-2.2
2026-01-09,DOV,26.6,,1,UBS:26.6
2026-01-09,DPZ,20.6,,1,Stifel:20.6
2026-01-09,DVN,15.1,,1,Bernstein:15.1
2026-01-09,EL,19.3,,1,Raymond James:19.3
2026-01-09,EMR,17.9,,1,UBS:17.9
2026-01-09,EQT,38.4,,1,Bernstein:38.4
2026-01-09,FTV,-4.6,,1,Mizuho:-4.6
2026-01-09,HBAN,11.9,,1,Barclays:11.9
2026-01-09,HUBB,7.9,,1,Mizuho:7.9
2026-01-09,JNJ,1,,1,Bernstein:1
2026-01-09,KEY,13.6,,1,Barclays:13.6
2026-01-09,LII,6.2,,1,UBS:6.2
2026-01-09,LMT,15,,1,Truist Securities:15
2026-01-09,LOW,16.3,,1,Barclays:16.3
2026-01-09,MCD,16.3,,1,Oppenheimer:16.3
2026-01-09,MCHP,3.65,8.2731,2,Morgan Stanley:-2.2|Stifel:9.5
2026-01-09,MDLZ,30.4,,1,Mizuho:30.4
2026-01-09,MTB,7.8,,1,B of A Securities:7.8
2026-01-09,MU,17.4,,1,Piper Sandler:17.4
2026-01-09,NOC,5.5,,1,Truist Securities:5.5
2026-01-09,PGR,24.6,,1,Barclays:24.6
2026-01-09,PLD,1.3,,1,Baird:1.3
2026-01-09,REG,5.9,,1,Mizuho:5.9
2026-01-09,REGN,6.7,,1,B of A Securities:6.7
2026-01-09,ROP,39.6,,1,Jefferies:39.6
2026-01-09,SWK,29.4,,1,UBS:29.4
2026-01-09,TFC,11.1,,1,Barclays:11.1
2026-01-09,TSCO,1.2,,1,Gordon Haskett:1.2
2026-01-09,TT,31.5,,1,UBS:31.5
2026-01-09,UBER,27.6,,1,Wolfe Research:27.6
2026-01-09,ULTA,15.5,,1,Argus Research:15.5
2026-01-09,VLO,8.6,,1,JP Morgan:8.6
2026-01-09,WAB,9.7,,1,Wolfe Research:9.7
2026-01-09,WMT,12.3,,1,Barclays:12.3
2026-01-09,YUM,18.6,,1,Barclays:18.6
2026-01-10,ACGL,2.1,6.2225,2,Evercore ISI Group:6.5|Goldman Sachs:-2.3
2026-01-10,AMCR,19.8,,1,Baird:19.8
2026-01-10,AME,9.3,,1,Mizuho:9.3
2026-01-10,AOS,5.7,,1,Jefferies:5.7
2026-01-10,APTV,18.5,,1,Piper Sandler:18.5
2026-01-10,BDX,35.9,,1,Stifel:35.9
2026-01-10,BMY,17.7,,1,UBS:17.7
2026-01-10,CARR,30.3,2.4042,2,UBS:32|Mizuho:28.6
2026-01-10,CLX,-6.7,,1,Goldman Sachs:-6.7
2026-01-10,CMCSA,58,,1,Benchmark:58
2026-01-10,CMG,29.3,,1,Truist Securities:29.3
2026-01-10,COP,-2.2,,1,Bernstein:-2.2
2026-01-10,DOV,26.6,,1,UBS:26.6
2026-01-10,DPZ,20.6,,1,Stifel:20.6
2026-01-10,DVN,15.1,,1,Bernstein:15.1
2026-01-10,EL,19.3,,1,Raymond James:19.3
2026-01-10,EMR,17.9,,1,UBS:17.9
2026-01-10,EQT,38.4,,1,Bernstein:38.4
2026-01-10,ESS,9.7,,1,BMO Capital:9.7
2026-01-10,FTV,-4.6,,1,Mizuho:-4.6
2026-01-10,GNRC,31.5,,1,Baird:31.5
2026-01-10,HBAN,11.9,,1,Barclays:11.9
2026-01-10,HUBB,7.9,,1,Mizuho:7.9
2026-01-10,JNJ,1,,1,Bernstein:1
2026-01-10,KEY,13.6,,1,Barclays:13.6
2026-01-10,LII,6.2,,1,UBS:6.2
2026-01-10,LMT,15,,1,Truist Securities:15
2026-01-10,LOW,16.3,,1,Barclays:16.3
2026-01-10,MAA,14,,1,BMO Capital:14
2026-01-10,MCD,16.3,,1,Oppenheimer:16.3
2026-01-10,MCHP,3.65,8.2731,2,Morgan Stanley:-2.2|Stifel:9.5
2026-01-10,MDLZ,30.4,,1,Mizuho:30.4
2026-01-10,MTB,7.8,,1,B of A Securities:7.8
2026-01-10,MU,17.4,,1,Piper Sandler:17.4
2026-01-10,NOC,5.5,,1,Truist Securities:5.5
2026-01-10,PGR,24.6,,1,Barclays:24.6
2026-01-10,PLD,1.3,,1,Baird:1.3
2026-01-10,REG,5.9,,1,Mizuho:5.9
2026-01-10,REGN,6.7,,1,B of A Securities:6.7
2026-01-10,ROP,39.6,,1,Jefferies:39.6
2026-01-10,SWK,29.4,,1,UBS:29.4
2026-01-10,TFC,11.1,,1,Barclays:11.1
2026-01-10,TSCO,1.2,,1,Gordon Haskett:1.2
2026-01-10,TT,31.5,,1,UBS:31.5
2026-01-10,UBER,27.6,,1,Wolfe Research:27.6
2026-01-10,VLO,8.6,,1,JP Morgan:8.6
2026-01-10,WAB,9.7,,1,Wolfe Research:9.7
2026-01-10,WMT,12.3,,1,Barclays:12.3
2026-01-10,YUM,18.6,,1,Barclays:18.6
2026-01-12,ACGL,2.1,6.2225,2,Evercore ISI Group:6.5|Goldman Sachs:-2.3
2026-01-12,AEP,5.5,,1,B of A Securities:5.5
2026-01-12,AMCR,19.8,,1,Baird:19.8
2026-01-12,AME,9.3,,1,Mizuho:9.3
2026-01-12,AOS,5.7,,1,Jefferies:5.7
2026-01-12,APTV,18.5,,1,Piper Sandler:18.5
2026-01-12,BDX,35.9,,1,Stifel:35.9
2026-01-12,BMY,17.7,,1,UBS:17.7
2026-01-12,CARR,28.6,,1,Mizuho:28.6
2026-01-12,CCL,41.1,,1,B of A Securities:41.1
2026-01-12,CLX,-6.7,,1,Goldman Sachs:-6.7
2026-01-12,CMCSA,58,,1,Benchmark:58
2026-01-12,CMG,29.3,,1,Truist Securities:29.3
2026-01-12,COP,-2.2,,1,Bernstein:-2.2
2026-01-12,DLR,13.9,,1,Mizuho:13.9
2026-01-12,DOV,26.6,,1,UBS:26.6
2026-01-12,DPZ,20.6,,1,Stifel:20.6
2026-01-12,DVN,15.1,,1,Bernstein:15.1
2026-01-12,EFX,17.3,,1,Oppenheimer:17.3
2026-01-12,EMR,17.9,,1,UBS:17.9
2026-01-12,EQT,38.4,,1,Bernstein:38.4
2026-01-12,ESS,9.7,,1,BMO Capital:9.7
2026-01-12,FTV,-4.6,,1,Mizuho:-4.6
2026-01-12,GNRC,31.5,,1,Baird:31.5
2026-01-12,HBAN,11.9,,1,Barclays:11.9
2026-01-12,HUBB,7.9,,1,Mizuho:7.9
2026-01-12,JNJ,1,,1,Bernstein:1
2026-01-12,KEY,13.6,,1,Barclays:13.6
2026-01-12,LMT,15,,1,Truist Securities:15
2026-01-12,LOW,16.3,,1,Barclays:16.3
2026-01-12,MAA,14,,1,BMO Capital:14
2026-01-12,MCD,16.3,,1,Oppenheimer:16.3
2026-01-12,MCHP,11.1333,14.2205,3,Morgan Stanley:-2.2|Stifel:9.5|B. Riley Securities:26.1
2026-01-12,MDLZ,30.4,,1,Mizuho:30.4
2026-01-12,MTB,7.8,,1,B of A Securities:7.8
2026-01-12,MU,17.4,,1,Piper Sandler:17.4
2026-01-12,NOC,5.5,,1,Truist Securities:5.5
2026-01-12,PGR,24.6,,1,Barclays:24.6
2026-01-12,PLD,1.3,,1,Baird:1.3
2026-01-12,REG,5.9,,1,Mizuho:5.9
2026-01-12,REGN,6.7,,1,B of A Securities:6.7
2026-01-12,TFC,11.1,,1,Barclays:11.1
2026-01-12,TSCO,1.2,,1,Gordon Haskett:1.2
2026-01-12,UBER,27.6,,1,Wolfe Research:27.6
2026-01-12,VLO,8.6,,1,JP Morgan:8.6
2026-01-12,VST,32.4,,1,B of A Securities:32.4
2026-01-12,WAB,9.7,,1,Wolfe Research:9.7
2026-01-12,WMT,12.3,,1,Barclays:12.3
2026-01-12,YUM,18.6,,1,Barclays:18.6
2026-01-13,ACGL,2.1,6.2225,2,Evercore ISI Group:6.5|Goldman Sachs:-2.3
2026-01-13,AEP,5.5,,1,B of A Securities:5.5
2026-01-13,AMCR,19.8,,1,Baird:19.8
2026-01-13,AOS,5.7,,1,Jefferies:5.7
2026-01-13,APTV,18.5,,1,Piper Sandler:18.5
2026-01-13,BDX,35.9,,1,Stifel:35.9
2026-01-13,BMY,17.7,,1,UBS:17.7
2026-01-13,CCL,41.1,,1,B of A Securities:41.1
2026-01-13,CLX,-6.7,,1,Goldman Sachs:-6.7
2026-01-13,CMG,29.3,,1,Truist Securities:29.3
2026-01-13,DLR,13.9,,1,Mizuho:13.9
2026-01-13,DPZ,20.6,,1,Stifel:20.6
2026-01-13,EFX,17.3,,1,Oppenheimer:17.3
2026-01-13,ESS,9.7,,1,BMO Capital:9.7
2026-01-13,GNRC,31.5,,1,Baird:31.5
2026-01-13,JNJ,1,,1,Bernstein:1
2026-01-13,LMT,15,,1,Truist Securities:15
2026-01-13,LOW,17.65,1.9092,2,Barclays:16.3|Gordon Haskett:19
2026-01-13,MAA,14,,1,BMO Capital:14
2026-01-13,MCD,16.3,,1,Oppenheimer:16.3
2026-01-13,MCHP,17.8,11.738,2,Stifel:9.5|B. Riley Securities:26.1
2026-01-13,MDLZ,30.4,,1,Mizuho:30.4
2026-01-13,MTB,7.8,,1,B of A Securities:7.8
2026-01-13,MU,17.4,,1,Piper Sandler:17.4
2026-01-13,NDAQ,20.6,,1,UBS:20.6
2026-01-13,NOC,5.5,,1,Truist Securities:5.5
2026-01-13,PGR,24.6,,1,Barclays:24.6
2026-01-13,PLD,1.3,,1,Baird:1.3
2026-01-13,PSX,9,,1,JP Morgan:9
2026-01-13,REG,5.9,,1,Mizuho:5.9
2026-01-13,REGN,6.7,,1,B of A Securities:6.7
2026-01-13,TSCO,1.2,,1,Gordon Haskett:1.2
2026-01-13,TT,38.6,,1,Morgan Stanley:38.6
2026-01-13,TTWO,12.5,,1,Morgan Stanley:12.5
2026-01-13,UBER,27.6,,1,Wolfe Research:27.6
2026-01-13,VLO,8.6,,1,JP Morgan:8.6
2026-01-13,VST,36.3,5.5154,2,B of A Securities:32.4|BMO Capital:40.2
2026-01-13,WAB,9.7,,1,Wolfe Research:9.7
2026-01-13,WMT,12.3,,1,Barclays:12.3
2026-01-13,YUM,18.6,,1,Barclays:18.6
2026-01-14,ACGL,-2.3,,1,Goldman Sachs:-2.3
2026-01-14,AEP,5.5,,1,B of A Securities:5.5
2026-01-14,AMCR,19.8,,1,Baird:19.8
2026-01-14,AOS,5.7,,1,Jefferies:5.7
2026-01-14,APTV,18.5,,1,Piper Sandler:18.5
2026-01-14,BDX,35.9,,1,Stifel:35.9
2026-01-14,BLK,12.9,,1,TD Cowen:12.9
2026-01-14,CCL,41.1,,1,B of A Securities:41.1
2026-01-14,CMG,29.3,,1,Truist Securities:29.3
2026-01-14,CVX,15.2,,1,Jefferies:15.2
2026-01-14,DLR,13.9,,1,Mizuho:13.9
2026-01-14,DPZ,20.6,,1,Stifel:20.6
2026-01-14,EFX,17.3,,1,Oppenheimer:17.3
2026-01-14,ESS,9.7,,1,BMO Capital:9.7
2026-01-14,GNRC,31.5,,1,Baird:31.5
2026-01-14,GOOGL,10.4,,1,B of A Securities:10.4
2026-01-14,JNJ,1,,1,Bernstein:1
2026-01-14,KMB,-8.7,,1,Citigroup:-8.7
2026-01-14,LMT,15,,1,Truist Securities:15
2026-01-14,LOW,17.65,1.9092,2,Barclays:16.3|Gordon Haskett:19
2026-01-14,LYV,6.6,,1,Jefferies:6.6
2026-01-14,MAA,14,,1,BMO Capital:14
2026-01-14,MCHP,26.1,,1,B. Riley Securities:26.1
2026-01-14,MDLZ,30.4,,1,Mizuho:30.4
2026-01-14,MTB,7.8,,1,B of A Securities:7.8
2026-01-14,NDAQ,20.6,,1,UBS:20.6
2026-01-14,NOC,5.5,,1,Truist Securities:5.5
2026-01-14,PGR,24.6,,1,Barclays:24.6
2026-01-14,PLD,1.3,,1,Baird:1.3
2026-01-14,PSX,9,,1,JP Morgan:9
2026-01-14,REG,5.9,,1,Mizuho:5.9
2026-01-14,REGN,6.7,,1,B of A Securities:6.7
2026-01-14,TSCO,1.2,,1,Gordon Haskett:1.2
2026-01-14,TT,38.6,,1,Morgan Stanley:38.6
2026-01-14,TTWO,12.5,,1,Morgan Stanley:12.5
2026-01-14,VLO,8.6,,1,JP Morgan:8.6
2026-01-14,VST,36.3,5.5154,2,B of A Securities:32.4|BMO Capital:40.2
2026-01-14,WAB,9.7,,1,Wolfe Research:9.7
2026-01-14,WMT,12.3,,1,Barclays:12.3
2026-01-15,AEP,5.5,,1,B of A Securities:5.5
2026-01-15,AOS,5.7,,1,Jefferies:5.7
2026-01-15,APTV,18.5,,1,Piper Sandler:18.5
2026-01-15,BLK,12.9,,1,TD Cowen:12.9
2026-01-15,CCL,41.1,,1,B of A Securities:41.1
2026-01-15,CVX,15.2,,1,Jefferies:15.2
2026-01-15,DECK,27.8,,1,Citigroup:27.8
2026-01-15,DLR,13.9,,1,Mizuho:13.9
2026-01-15,EFX,17.3,,1,Oppenheimer:17.3
2026-01-15,ESS,9.7,,1,BMO Capital:9.7
2026-01-15,GDDY,33.7,,1,Morgan Stanley:33.7
2026-01-15,GNRC,31.5,,1,Baird:31.5
2026-01-15,GOOGL,10.4,,1,B of A Securities:10.4
2026-01-15,JNJ,1,,1,Bernstein:1
2026-01-15,KMB,-8.7,,1,Citigroup:-8.7
2026-01-15,LMT,15,,1,Truist Securities:15
2026-01-15,LOW,13.3,8.061,2,Gordon Haskett:19|Morgan Stanley:7.6
2026-01-15,LYV,6.6,,1,Jefferies:6.6
2026-01-15,MAA,14,,1,BMO Capital:14
2026-01-15,MAR,7,,1,Citigroup:7
2026-01-15,MCHP,26.1,,1,B. Riley Securities:26.1
2026-01-15,NDAQ,20.6,,1,UBS:20.6
2026-01-15,NOC,5.5,,1,Truist Securities:5.5
2026-01-15,PGR,24.6,,1,Barclays:24.6
2026-01-15,PLD,1.3,,1,Baird:1.3
2026-01-15,PSX,9,,1,JP Morgan:9
2026-01-15,REG,5.9,,1,Mizuho:5.9
2026-01-15,TPR,3.3,,1,Jefferies:3.3
2026-01-15,TT,38.6,,1,Morgan Stanley:38.6
2026-01-15,TTWO,12.5,,1,Morgan Stanley:12.5
2026-01-15,VST,36.3,5.5154,2,B of A Securities:32.4|BMO Capital:40.2
2026-01-15,WAB,9.7,,1,Wolfe Research:9.7
2026-01-16,AEP,5.5,,1,B of A Securities:5.5
2026-01-16,BA,20.3,,1,Bernstein:20.3
2026-01-16,BLK,12.9,,1,TD Cowen:12.9
2026-01-16,CCL,41.1,,1,B of A Securities:41.1
2026-01-16,CRL,18.6,,1,Citigroup:18.6
2026-01-16,CVX,15.2,,1,Jefferies:15.2
2026-01-16,DECK,27.8,,1,Citigroup:27.8
2026-01-16,DLR,13.9,,1,Mizuho:13.9
2026-01-16,EFX,17.3,,1,Oppenheimer:17.3
2026-01-16,ESS,9.7,,1,BMO Capital:9.7
2026-01-16,ETN,16.5,,1,HSBC:16.5
2026-01-16,GDDY,33.7,,1,Morgan Stanley:33.7
2026-01-16,GNRC,31.5,,1,Baird:31.5
2026-01-16,GOOGL,10.4,,1,B of A Securities:10.4
2026-01-16,KMB,-8.7,,1,Citigroup:-8.7
2026-01-16,LII,3.1,,1,JP Morgan:3.1
2026-01-16,LOW,13.3,8.061,2,Gordon Haskett:19|Morgan Stanley:7.6
2026-01-16,LYV,6.6,,1,Jefferies:6.6
2026-01-16,MAA,14,,1,BMO Capital:14
2026-01-16,MAR,7,,1,Citigroup:7
2026-01-16,MCHP,19.4,9.4752,2,B. Riley Securities:26.1|Piper Sandler:12.7
2026-01-16,MTB,20,,1,Jefferies:20
2026-01-16,NDAQ,20.6,,1,UBS:20.6
2026-01-16,OTIS,28.9,,1,JP Morgan:28.9
2026-01-16,PNR,16.3,,1,JP Morgan:16.3
2026-01-16,PSX,9,,1,JP Morgan:9
2026-01-16,SNDK,5.7,,1,Benchmark:5.7
2026-01-16,TPR,3.3,,1,Jefferies:3.3
2026-01-16,TT,38.6,,1,Morgan Stanley:38.6
2026-01-16,TTWO,12.5,,1,Morgan Stanley:12.5
2026-01-16,VST,36.3,5.5154,2,B of A Securities:32.4|BMO Capital:40.2
2026-01-16,WFC,13.5,,1,Argus Research:13.5
2026-01-17,AEP,5.5,,1,B of A Securities:5.5
2026-01-17,BA,20.3,,1,Bernstein:20.3
2026-01-17,BLK,12.9,,1,TD Cowen:12.9
2026-01-17,CCL,41.1,,1,B of A Securities:41.1
2026-01-17,CHTR,23.3,,1,Bernstein:23.3
2026-01-17,CMCSA,13.3,,1,Bernstein:13.3
2026-01-17,CRL,18.6,,1,Citigroup:18.6
2026-01-17,CVX,15.2,,1,Jefferies:15.2
2026-01-17,DECK,27.8,,1,Citigroup:27.8
2026-01-17,DLR,13.9,,1,Mizuho:13.9
2026-01-17,EFX,17.3,,1,Oppenheimer:17.3
2026-01-17,ETN,16.5,,1,HSBC:16.5
2026-01-17,GDDY,33.7,,1,Morgan Stanley:33.7
2026-01-17,GOOGL,10.4,,1,B of A Securities:10.4
2026-01-17,KHC,0.7,,1,Morgan Stanley:0.7
2026-01-17,KMB,-8.7,,1,Citigroup:-8.7
2026-01-17,LII,3.1,,1,JP Morgan:3.1
2026-01-17,LOW,13.3,8.061,2,Gordon Haskett:19|Morgan Stanley:7.6
2026-01-17,LYV,6.6,,1,Jefferies:6.6
2026-01-17,MAR,7,,1,Citigroup:7
2026-01-17,MCHP,19.4,9.4752,2,B. Riley Securities:26.1|Piper Sandler:12.7
2026-01-17,MTB,20,,1,Jefferies:20
2026-01-17,NDAQ,20.6,,1,UBS:20.6
2026-01-17,OTIS,28.9,,1,JP Morgan:28.9
2026-01-17,PNR,16.3,,1,JP Morgan:16.3
2026-01-17,PSX,9,,1,JP Morgan:9
2026-01-17,SNDK,5.7,,1,Benchmark:5.7
2026-01-17,T,26.8,,1,Bernstein:26.8
2026-01-17,TPR,3.3,,1,Jefferies:3.3
2026-01-17,TT,38.6,,1,Morgan Stanley:38.6
2026-01-17,TTWO,12.5,,1,Morgan Stanley:12.5
2026-01-17,VST,36.3,5.5154,2,B of A Securities:32.4|BMO Capital:40.2
2026-01-17,WFC,13.5,,1,Argus Research:13.5
2026-01-20,AWK,-5.1,,1,Wells Fargo:-5.1
2026-01-20,BA,20.3,,1,Bernstein:20.3
2026-01-20,BLK,12.9,,1,TD Cowen:12.9
2026-01-20,CHTR,23.3,,1,Bernstein:23.3
2026-01-20,CMCSA,13.3,,1,Bernstein:13.3
2026-01-20,CMS,3.7,,1,Wells Fargo:3.7
