ticker,exchange
C,NYSE
C,NYSE
C,NYSE
CB,NYSE
CB,NYSE
CB,NYSE
CBRE,NYSE
CBRE,NYSE
CBRE,NYSE
CDW,NASDAQ
CDW,NASDAQ
CDW,NASDAQ
CF,NYSE
CF,NYSE
CF,NYSE
CFG,NYSE
CFG,NYSE
CFG,NYSE
CHD,NYSE
CHD,NYSE
CHD,NYSE
CHTR,NASDAQ
CHTR,NASDAQ
CHTR,NASDAQ
CI,NYSE
CI,NYSE
CI,NYSE
CIEN,NYSE
CIEN,NYSE
CIEN,NYSE
CINF,NASDAQ
CINF,NASDAQ
CINF,NASDAQ
CL,NYSE
CL,NYSE
CL,NYSE
CLX,NYSE
CLX,NYSE
CLX,NYSE
CMCSA,NASDAQ
CMCSA,NASDAQ
CMCSA,NASDAQ
CME,NASDAQ
CME,NASDAQ
CME,NASDAQ
CMG,NYSE
CMG,NYSE
CMG,NYSE
CMS,NYSE
CMS,NYSE
CMS,NYSE
CNC,NYSE
CNC,NYSE
CNC,NYSE
CNP,NYSE
CNP,NYSE
CNP,NYSE
COHR,NYSE
COHR,NYSE
COHR,NYSE
COIN,NASDAQ
COIN,NASDAQ
COIN,NASDAQ
COR,NYSE
COR,NYSE
COR,NYSE
CRL,NYSE
CRL,NYSE
CRL,NYSE
CSCO,NASDAQ
CSCO,NASDAQ
CSCO,NASDAQ
CTAS,NASDAQ
CTAS,NASDAQ
CTAS,NASDAQ
CTSH,NASDAQ
CTSH,NASDAQ
CTSH,NASDAQ
CVX,NYSE
CVX,NYSE
CVX,NYSE
FIX,NYSE
FIX,NYSE
FIX,NYSE
KO,NYSE
KO,NYSE
KO,NYSE
SCHW,NYSE
SCHW,NYSE
SCHW,NYSE
