ticker,exchange
A,NYSE
A,NYSE
A,NYSE
ABBV,NYSE
ABBV,NYSE
ABBV,NYSE
ABNB,NASDAQ
ABNB,NASDAQ
ABNB,NASDAQ
ABT,NYSE
ABT,NYSE
ABT,NYSE
ACN,NYSE
ACN,NYSE
ACN,NYSE
ADBE,NASDAQ
ADBE,NASDAQ
ADBE,NASDAQ
AEE,NYSE
AEE,NYSE
AEE,NYSE
AEP,NASDAQ
AEP,NASDAQ
AEP,NASDAQ
AES,NYSE
AES,NYSE
AES,NYSE
AFL,NYSE
AFL,NYSE
AFL,NYSE
AIG,NYSE
AIG,NYSE
AIG,NYSE
AKAM,NASDAQ
AKAM,NASDAQ
AKAM,NASDAQ
ALB,NYSE
ALB,NYSE
ALB,NYSE
ALGN,NASDAQ
ALGN,NASDAQ
ALGN,NASDAQ
ALL,NYSE
ALL,NYSE
ALL,NYSE
ALLE,NYSE
ALLE,NYSE
ALLE,NYSE
AMCR,NYSE
AMCR,NYSE
AMCR,NYSE
AMD,NASDAQ
AMD,NASDAQ
AMT,NYSE
AMT,NYSE
AMT,NYSE
AMZN,NASDAQ
AMZN,NASDAQ
AMZN,NASDAQ
AOS,NYSE
AOS,NYSE
AOS,NYSE
APD,NYSE
APD,NYSE
APD,NYSE
ARE,NYSE
ARE,NYSE
ARE,NYSE
AWK,NYSE
AWK,NYSE
AWK,NYSE
AXP,NYSE
AXP,NYSE
AXP,NYSE
GOOG,NASDAQ
GOOGL,NASDAQ
GOOGL,NASDAQ
GOOGL,NASDAQ
LNT,NASDAQ
LNT,NASDAQ
LNT,NASDAQ
MMM,NYSE
MMM,NYSE
MMM,NYSE
MO,NYSE
MO,NYSE
MO,NYSE
