signal_name,date,ticker,average_projected,analyst_projections_count,mad,signal_score,analyst_percent_list,signal_percentile
yahoo-daily,2026-02-06,UBER,41.300000508626304,3,0.14205004681599218,71.53369923356124,Citigroup:45.7|Mizuho:45.7|Morgan Stanley:32.5,0.8457446808510638
yahoo-daily,2026-07-31,RDDT,34.05000054836273,4,0.7158590560689314,68.10000109672546,B. Riley Securities:82.8|JP Morgan:25.3|Piper Sandler:32|Wells Fargo:-3.9,0.8404255319148937
yahoo-daily,2026-08-06,ANET,33.799999713897705,4,0.1923076798278849,67.59999942779541,B of A Securities:24.7|Evercore ISI Group:29.9|Needham:35.1|Rosenblatt:45.5,0.8351063829787234
yahoo-daily,2026-08-20,KEYS,33.77499961853027,4,0.12657289909145825,67.54999923706055,Baird:30.3|Barclays:36.3|Susquehanna:39.8|Wells Fargo:28.7,0.8297872340425532
yahoo-daily,2026-07-17,BLK,29.600000381469727,5,0.21351350045186765,66.18761298698603,"B of A Securities:23.6|Barclays:35.7|JP Morgan:27.7|Keefe, Bruyette & Woods:21.7|Morgan Stanley:39.3",0.824468085106383
yahoo-daily,2026-07-23,LVS,32.325000286102295,4,0.13031710120655804,64.65000057220459,Barclays:32.9|Goldman Sachs:23.9|JP Morgan:35.1|Mizuho:37.4,0.8191489361702128
yahoo-daily,2026-07-30,QCOM,32.1999990940094,4,0.8074534055484965,64.3999981880188,Benchmark:84.2|Susquehanna:9.2|TD Cowen:19.4|Wells Fargo:16,0.8138297872340425
yahoo-daily,2026-05-07,UBER,36.53333282470703,3,0.09184914041573657,63.277588622216385,JP Morgan:37.8|Piper Sandler:31.5|Truist Securities:40.3,0.8085106382978723
yahoo-daily,2026-08-14,CSCO,28.2,5,0.32482268421362476,63.05711696549407,Keybanc:19.7|Morgan Stanley:19.7|Rosenblatt:46.3|UBS:22.3|Wells Fargo:33,0.8031914893617021
yahoo-daily,2026-09-02,DELL,31.050000190734863,4,0.14170694187362756,62.10000038146973,Citigroup:29.9|Goldman Sachs:23.4|JP Morgan:37.4|Raymond James:33.5,0.7978723404255319
yahoo-daily,2026-08-08,MCHP,35.20000012715658,3,0.4659090844095026,60.96818864666613,Rosenblatt:47.5|Truist Securities:10.6|UBS:47.5,0.7925531914893617
yahoo-daily,2026-08-28,MRVL,27.059999847412108,5,0.5339246104730272,60.507999129947414,B. Riley Securities:39.8|Craig-Hallum:33.2|Morgan Stanley:9.2|Oppenheimer:44.3|TD Cowen:8.8,0.7872340425531915
yahoo-daily,2026-08-20,TJX,22.657143098967417,7,0.49900917963071145,59.945166059071084,BTIG:33.6|Barclays:32.2|Citigroup:8.3|Evercore ISI Group:21.7|Morgan Stanley:25.2|UBS:39.2|Wells Fargo:-1.6,0.7819148936170213
yahoo-daily,2026-07-23,GOOG,34.233333587646484,3,0.2622525233739351,59.29387308625786,JP Morgan:30.6|Oppenheimer:24.4|TD Cowen:47.7,0.776595744680851
yahoo-daily,2026-08-28,META,33.5,3,0,58.023702053557386,Truist Securities:33.5,0.7712765957446809
yahoo-daily,2026-06-25,MU,20.387500256299973,8,0.7500000029235877,57.664558730688746,Deutsche Bank:25.7|Goldman Sachs:-10.8|Morgan Stanley:-2.7|Raymond James:21.7|Susquehanna:62.2|TD Cowen:29.8|Wedbush:13.5|Wells Fargo:23.7,0.7659574468085106
yahoo-daily,2026-08-29,MRVL,33.20000076293945,3,0,57.50408813273662,Cantor Fitzgerald:33.2|Needham:33.2|Rosenblatt:33.2,0.7606382978723404
yahoo-daily,2026-07-30,XYL,33.10000038146973,3,0.060422960028715104,57.33088239125478,Baird:35|Barclays:30.1|RBC Capital:34.2,0.7553191489361702
yahoo-daily,2026-07-17,ISRG,25.479999923706053,5,0.2835164879585293,56.97501189609619,JP Morgan:23.3|Mizuho:9.6|Piper Sandler:28.8|Raymond James:32.3|Wells Fargo:33.4,0.75
yahoo-daily,2026-07-23,GEV,32.63333257039388,3,0.16002724242022426,56.52259003221447,JP Morgan:35.5|Morgan Stanley:37.6|RBC Capital:24.8,0.7446808510638298
yahoo-daily,2026-07-30,GLW,32.63333205382029,3,0.7368062575802189,56.52258913748276,Barclays:-1.1|Citigroup:68.7|JP Morgan:30.3,0.7393617021276596
yahoo-daily,2026-07-24,LVS,32.333333333333336,3,0.07285224940768628,56.0029761113937,Macquarie:33|Stifel:28.8|Susquehanna:35.2,0.7340425531914894
yahoo-daily,2026-08-08,DDOG,27.77500009536743,4,0.1543654239961316,55.55000019073486,DA Davidson:34.2|Needham:27.8|Rosenblatt:29.9|UBS:19.2,0.7287234042553191
yahoo-daily,2026-07-30,TER,30.96666653951009,3,0.5841406253181267,53.63583978747458,Cantor Fitzgerald:58.1|Evercore ISI Group:20.7|Morgan Stanley:14.1,0.723404255319149
yahoo-daily,2026-08-06,PODD,23.600000381469727,5,0.4067796544417744,52.77120512198728,Bernstein:33.7|RBC Capital:22.2|Stifel:37.5|TD Cowen:10|UBS:14.6,0.7180851063829787
yahoo-daily,2026-08-01,MPWR,26.149999976158142,4,0.40535372977079326,52.299999952316284,Keybanc:40.1|Needham:33.4|Rosenblatt:5.1|Truist Securities:26,0.7127659574468085
yahoo-daily,2026-01-29,ROP,23.11999979019165,5,0.6131487921815733,51.697891170649406,Citigroup:26.5|Goldman Sachs:23.7|Mizuho:2.6|Stifel:8.2|Truist Securities:54.6,0.7074468085106383
yahoo-daily,2026-07-30,CTSH,29.366666158040363,3,0.5206205102434077,50.86455783463943,Citigroup:11.4|Susquehanna:52.3|Wells Fargo:24.4,0.7021276595744681
yahoo-daily,2026-08-22,WMT,22.67999973297119,5,0.15978834888673282,50.714021132600664,Baird:15.7|Guggenheim:25.4|Morgan Stanley:20.6|RBC Capital:26.3|Telsey Advisory Group:25.4,0.6968085106382979
yahoo-daily,2026-07-22,HAL,29.100000381469727,3,0.2497136191441694,50.402679160979275,Evercore ISI Group:28.1|Morgan Stanley:19.2|TD Cowen:40,0.6914893617021277
yahoo-daily,2026-08-21,WMT,20.383333047231037,6,0.24802398821827254,49.928765222925804,Citigroup:27.3|JP Morgan:20.6|Piper Sandler:23.4|Truist Securities:9.9|UBS:25.4|Wells Fargo:15.7,0.6861702127659575
yahoo-daily,2026-07-17,NFLX,28.799999237060547,3,0.046296297522729346,49.883061936533764,JP Morgan:29.8|Morgan Stanley:26.8|Oppenheimer:29.8,0.6808510638297872
yahoo-daily,2026-09-17,JBHT,22.020000076293947,5,0.25504087382275575,49.238217035143826,B of A Securities:26.6|Barclays:19.4|Raymond James:25.7|UBS:10.6|Wells Fargo:27.8,0.675531914893617
yahoo-daily,2026-08-14,COHR,28.333333333333332,3,0.561568645402497,49.074772881118186,B. Riley Securities:5|Needham:27.8|Rosenblatt:52.2,0.6702127659574468
yahoo-daily,2026-07-30,KLAC,28.099999745686848,3,0.3890866050471628,48.670627252202145,JP Morgan:27.4|Jefferies:12.4|Needham:44.5,0.6648936170212766
yahoo-daily,2026-05-20,HD,27.700000762939453,3,0.1251504360942514,47.977808691107796,Morgan Stanley:32.9|Piper Sandler:25.6|TD Cowen:24.6,0.6595744680851063
yahoo-daily,2026-07-22,MSCI,26.833333333333332,3,0.0811594297673638,46.47669666976487,Evercore ISI Group:30.1|JP Morgan:26.1|Wells Fargo:24.3,0.6542553191489362
yahoo-daily,2026-08-12,LITE,26.800000190734863,3,0.38805973194326526,46.41896197320838,JP Morgan:42.4|Mizuho:26.8|Morgan Stanley:11.2,0.648936170212766
yahoo-daily,2026-02-06,IQV,26.53333314259847,3,0.4355108909028644,45.957081097131734,Citigroup:9.2|Jefferies:39.3|UBS:31.1,0.6436170212765957
