strategy,n_signals,n_buys,n_skipped,n_trades,n_closed,n_open,pnl,avg_invested,return_on_cash_pct,return_on_avg_invested_pct,win_rate_pct,max_drawdown_pct,mean_lot_return_pct,mean_vs_spy_pct
1. Sell 30d after last signal,189,158,31,158,110,48,-6951.0090312131215,132222.22222222222,-0.9206634478427976,-5.257065653858663,42.405063291139236,-3.6406167734373107,-0.8798745609130598,-2.1142783824182154
2. Sell 30d after last signal or 75% of projection,189,158,31,158,112,46,-2895.242115560337,121388.88888888889,-0.38347577689540885,-2.3850964796378062,44.936708860759495,-3.279395262192586,-0.366486343741814,-1.7225030778387955
