ticker,date_buy,date_sell,price_buy,price_sell,pnl,return_pct,return_pct_30d,spy_pct,vs_spy_pct,hold_days,status
ROP,2026-01-29,2026-03-13,363.1611022949219,349.2316589355469,-191.78049729652685,-3.835609945930537,-3.7118805928360037,-4.574660532022312,0.7390505860917753,31,Closed
PPG,2026-01-29,2026-03-13,114.38243865966797,100.60429382324219,-602.284100508693,-12.04568201017386,-11.657111622748896,-4.574660532022312,-7.471021478151547,31,Closed
CCI,2026-02-05,2026-03-20,75.41323852539062,80.24327087402344,320.23769586599883,6.404753917319978,6.198148952245139,-4.025669017351174,10.430422934671153,31,Closed
CMG,2026-02-05,2026-03-20,38.45000076293945,33.369998931884766,-660.5984044545348,-13.211968089090695,-12.785775570087768,-4.025669017351174,-9.18629907173952,31,Closed
UBER,2026-02-06,2026-03-23,74.7699966430664,75.12000274658203,23.40551820447945,0.468110364089589,0.4530100297641184,-4.843505968643747,5.311616332733336,31,Closed
UBER,2026-05-07,2026-06-22,76.7300033569336,71.43000030517578,-345.3670545994373,-6.907341091988746,-6.684523637408464,2.0131407613732666,-8.920481853362013,31,Closed
UBER,2026-08-06,2026-09-18,70.47000122070312,70.5,2.128478698539766,0.04256957397079532,0.04119636190722128,-0.6477802220478557,0.690349796018651,31,Open
IQV,2026-02-06,2026-03-23,187.49000549316406,166.9600067138672,-547.495817851619,-10.94991635703238,-10.596693248741014,-4.843505968643747,-6.106410388388634,31,Closed
IQV,2026-07-29,2026-09-10,247.55999755859372,257.29998779296875,196.71979177632875,3.9343958355265753,3.80747984083217,3.889172075284497,0.04522376024207819,31,Closed
VRTX,2026-03-10,2026-04-22,499.1700134277344,437.6700134277344,-616.0225809407866,-12.320451618815733,-11.923017695628129,5.3120880332682585,-17.63253965208399,31,Closed
GIS,2026-03-19,2026-05-01,36.250064849853516,34.12923049926758,-292.52835262093413,-5.850567052418683,-5.661839082985822,9.5207769478304,-15.371344000249083,31,Closed
C,2026-04-15,2026-05-28,130.40696716308594,124.04930114746094,-243.76251338144175,-4.875250267628835,-4.717984129963389,7.8092353244728185,-12.684485592101653,31,Closed
IR,2026-04-30,2026-06-12,79.81878662109375,73.98253631591797,-365.5937751146812,-7.311875502293624,-7.076008550606733,3.212926000782912,-10.524801503076535,31,Closed
MCHP,2026-05-11,2026-06-24,97.94615173339844,91.92692565917969,-307.2722086418771,-6.145444172837542,-5.947204038229879,-0.5641805234956054,-5.5812636493419365,31,Closed
MCHP,2026-08-10,2026-09-18,80.90324401855469,73.2699966430664,-471.75162554282997,-9.4350325108566,-9.760378459506828,-1.2222779714754273,-8.212754539381173,29,Open
HD,2026-05-20,2026-07-06,306.0126953125,348.0848693847656,687.425304843996,13.74850609687992,13.305005900206375,1.6142357627517478,12.134270334128171,31,Closed
HD,2026-08-19,2026-09-18,341.78131103515625,299.9800109863281,-611.521149623778,-12.23042299247556,-16.677849535193946,-0.7123679108401615,-11.5180550816354,22,Open
ADI,2026-05-21,2026-07-07,381.9966125488281,377.8786926269531,-53.8999533843853,-1.077999067687706,-1.043224904213909,0.9312163893291592,-2.0092154570168654,31,Closed
ULTA,2026-06-03,2026-07-17,471.2099914550781,479.57000732421875,88.70796482185324,1.7741592964370647,1.7169283513907077,-1.197916289655876,2.9720755860929406,31,Closed
ULTA,2026-08-28,2026-09-18,517.5,540.97998046875,226.859714673913,4.537194293478261,9.074388586956522,-0.749796779925127,5.286991073403388,15,Open
AVGO,2026-06-04,2026-07-20,418.248046875,378.1600036621094,-479.2376618661365,-9.58475323732273,-9.275567649021996,-1.7287488974319642,-7.856004339890765,31,Closed
JBL,2026-06-18,2026-08-03,371.7996826171875,318.32122802734375,-719.1837041575182,-14.383674083150364,-13.919684596597126,1.463699380266692,-15.847373463417057,31,Closed
MU,2026-06-25,2026-08-10,1213.3734130859375,861.0,-1452.0402758362588,-29.040805516725175,-27.22575517192985,5.274415318095116,-34.315220834820295,32,Closed
NKE,2026-07-02,2026-08-14,43.627201080322266,40.30247116088867,-381.0386452837547,-7.620772905675094,-7.374941521621058,4.237491014397499,-11.858263920072591,31,Closed
PEP,2026-07-13,2026-08-24,137.0261688232422,143.14085388183594,223.1210691762617,4.462421383525235,4.318472306637323,1.9087721109372957,2.553649272587939,31,Closed
BAC,2026-07-16,2026-08-27,61.1778678894043,60.85948944091797,-26.020721175007566,-0.5204144235001513,-0.5036268614517594,2.7147287353693095,-3.2351431588694606,31,Closed
CTAS,2026-07-16,2026-08-27,205.7156219482422,204.14999389648438,-38.05321241358433,-0.7610642482716866,-0.7365137886500193,2.7147287353693095,-3.475792983640996,31,Closed
JPM,2026-07-16,2026-08-27,343.1499938964844,354.2200012207031,161.29983274250299,3.22599665485006,3.12193224662909,2.7147287353693095,0.5112679194807503,31,Closed
BLK,2026-07-17,2026-08-28,1066.7257080078125,1158.5345458984375,430.3301082997459,8.606602165994918,8.328969838059598,3.5060389464941943,5.1005632195007236,31,Closed
ISRG,2026-07-17,2026-08-31,345.4200134277344,376.8599853515625,455.09771729549357,9.10195434590987,8.533082199290504,3.1966026712277884,5.905351674682082,32,Closed
NFLX,2026-07-17,2026-08-31,68.94999694824219,81.05000305175781,877.447907111482,17.54895814222964,16.452148258340287,3.1966026712277884,14.352355471001852,32,Closed
MS,2026-07-17,2026-08-28,214.32022094726562,214.77000427246094,10.493254514373803,0.20986509028747607,0.20309524866529943,3.5060389464941943,-3.2961738562067184,31,Closed
UNH,2026-07-17,2026-08-31,423.48236083984375,387.02685546875,-430.4253109715801,-8.608506219431602,-8.070474580717127,3.1966026712277884,-11.80510889065939,32,Closed
ABT,2026-07-17,2026-08-28,100.68000030517578,112.47000122070312,585.518518066654,11.71037036133308,11.332616478709433,3.5060389464941943,8.204331414838887,31,Closed
JBHT,2026-07-17,2026-08-28,290.9193115234375,261.0299987792969,-513.7045146233377,-10.274090292466752,-9.942668024967825,3.5060389464941943,-13.780129238960946,31,Closed
JBHT,2026-09-17,2026-09-18,236.8000030517578,234.25,-53.84296914895822,-1.0768593829791644,-16.152890744687465,0.1286959052958503,-1.2055552882750147,2,Open
STT,2026-07-17,2026-08-28,182.5,193.3300018310547,296.7123789330053,5.934247578660106,5.742820237413006,3.5060389464941943,2.4282086321659113,31,Closed
CFG,2026-07-17,2026-08-28,71.92303466796875,69.70999908447266,-153.8474838911152,-3.076949677822304,-2.9776932366022297,3.5060389464941943,-6.582988624316498,31,Closed
USB,2026-07-20,2026-08-31,63.13999938964844,61.58000183105469,-123.5348094451765,-2.47069618890353,-2.390996311842126,3.363467846981849,-5.8341640358853795,31,Closed
DPZ,2026-07-21,2026-09-01,324.3341979980469,338.2779846191406,214.96016619834973,4.299203323966994,4.16051934577451,1.804136440455384,2.49506688351161,31,Closed
MSCI,2026-07-22,2026-09-02,568.9153442382812,560.6300048828125,-72.81697918133978,-1.4563395836267956,-1.40936088738077,2.374870980755839,-3.8312105643826344,31,Closed
HAL,2026-07-22,2026-09-02,32.87741470336914,37.630001068115234,722.7737350435691,14.455474700871381,13.989169065359402,2.374870980755839,12.080603720115542,31,Closed
EFX,2026-07-22,2026-09-02,169.9588623046875,185.47999572753906,456.6144187005275,9.13228837401055,8.837698426461822,2.374870980755839,6.757417393254711,31,Closed
KEY,2026-07-22,2026-09-02,22.890769958496094,21.799999237060547,-238.2555771197858,-4.765111542395716,-4.611398266834564,2.374870980755839,-7.139982523151555,31,Closed
DHR,2026-07-22,2026-09-02,179.13999938964844,209.91000366210938,858.8256217845837,17.176512435691674,16.622431389379038,2.374870980755839,14.801641454935835,31,Closed
GM,2026-07-22,2026-09-02,81.96050262451172,84.69485473632812,166.80913514790063,3.3361827029580127,3.2285639060883993,2.374870980755839,0.9613117222021739,31,Closed
TSLA,2026-07-23,2026-09-04,319.69000244140625,354.0799865722656,537.8645542280055,10.75729108456011,10.084960391775104,4.336342770285051,6.420948314275059,32,Closed
LVS,2026-07-23,2026-09-04,45.73793029785156,44.369998931884766,-149.54014721027397,-2.9908029442054795,-2.8038777601926372,4.336342770285051,-7.3271457144905305,32,Closed
GEV,2026-07-23,2026-09-03,1031.18994140625,941.8400268554688,-433.2369380413729,-8.66473876082746,-8.385231058865283,4.7400351928482465,-13.404773953675706,31,Closed
GOOG,2026-07-23,2026-09-03,318.1334533691406,338.8599853515625,325.7521609708274,6.515043219416548,6.30488053491924,4.7400351928482465,1.775008026568302,31,Closed
