ticker,date_buy,date_sell,price_buy,price_sell,pnl,return_pct,return_pct_30d,spy_pct,vs_spy_pct,hold_days,status
ROP,2026-01-29,2026-03-13,363.1611022949219,349.2316589355469,-191.78049729652685,-3.835609945930537,-3.7118805928360037,-4.574660532022312,0.7390505860917753,31,Closed
ULTA,2026-06-03,2026-07-17,471.2099914550781,479.57000732421875,88.70796482185324,1.7741592964370647,1.7169283513907077,-1.197916289655876,2.9720755860929406,31,Closed
MU,2026-06-25,2026-08-10,1213.3734130859375,861.0,-1452.0402758362588,-29.040805516725175,-27.22575517192985,5.274415318095116,-34.315220834820295,32,Closed
MU,2026-06-26,2026-08-10,1132.1558837890625,861.0,-1197.5200927347869,-23.950401854695738,-23.17780824647975,6.041234706153253,-29.991636560848992,31,Closed
BLK,2026-07-17,2026-08-28,1066.7257080078125,1158.5345458984375,430.3301082997459,8.606602165994918,8.328969838059598,3.5060389464941943,5.1005632195007236,31,Closed
ISRG,2026-07-17,2026-08-31,345.4200134277344,376.8599853515625,455.09771729549357,9.10195434590987,8.533082199290504,3.1966026712277884,5.905351674682082,32,Closed
ISRG,2026-07-20,2026-08-31,353.1700134277344,376.8599853515625,335.3904780009807,6.707809560019613,6.491428606470594,3.363467846981849,3.344341713037764,31,Closed
NFLX,2026-07-20,2026-08-31,67.5999984741211,81.05000305175781,994.8228462450115,19.896456924900228,19.254635733774414,3.363467846981849,16.53298907791838,31,Closed
GM,2026-07-22,2026-09-02,81.96050262451172,84.69485473632812,166.80913514790063,3.3361827029580127,3.2285639060883993,2.374870980755839,0.9613117222021739,31,Closed
TSLA,2026-07-23,2026-09-03,319.69000244140625,376.3699951171875,886.4836598412194,17.72967319682439,17.157748254991347,4.7400351928482465,12.989638003976143,31,Closed
LVS,2026-07-23,2026-09-03,45.73793029785156,44.5099983215332,-134.23562985053104,-2.6847125970106207,-2.5981089648489877,4.7400351928482465,-7.424747789858867,31,Closed
T,2026-07-23,2026-09-03,22.959999084472656,26.190000534057617,703.3975562676178,14.067951125352357,13.61414625034099,4.7400351928482465,9.32791593250411,31,Closed
STX,2026-07-29,2026-09-11,764.4299926757812,830.1699829101562,429.99353023984077,8.599870604796815,8.062378691997013,4.774754696600003,3.8251159081968114,32,Closed
META,2026-07-30,2026-09-14,539.030029296875,665.5999755859375,1174.0528301750064,23.48105660350013,22.01349056578137,2.587333114003032,20.8937234894971,32,Closed
MSFT,2026-07-30,2026-09-11,450.25241088867193,495.6300048828125,503.91283751904757,10.078256750380952,9.75315169391705,3.047093537994683,7.031163212386269,31,Closed
STX,2026-07-30,2026-09-11,851.6799926757812,830.1699829101562,-126.27988182536501,-2.5255976365073,-2.4441267450070647,3.047093537994683,-5.572691174501983,31,Closed
QCOM,2026-07-30,2026-09-11,150.77938842773438,181.97000122070312,1034.3128831537142,20.686257663074283,20.018959028781563,3.047093537994683,17.6391641250796,31,Closed
META,2026-07-31,2026-09-14,556.7100219726562,665.5999755859375,977.9773069958273,19.55954613991655,18.928593038628918,1.8539976540301373,17.70554848588641,31,Closed
RDDT,2026-07-31,2026-09-14,140.6699981689453,162.3800048828125,771.6644272573803,15.433288545147605,14.935440527562198,1.8539976540301373,13.579290891117466,31,Closed
COIN,2026-08-03,2026-09-15,146.5,172.11000061035156,874.0614542782105,17.48122908556421,16.917318469900845,-0.036954139073541725,17.518183224637752,31,Closed
MPWR,2026-08-03,2026-09-15,1344.3699951171875,1142.4599609375,-750.9466698640772,-15.018933397281545,-14.534451674788592,-0.036954139073541725,-14.981979258208003,31,Closed
UBER,2026-08-06,2026-09-18,70.47000122070312,70.5,2.128478698539766,0.04256957397079532,0.04119636190722128,-0.6477802220478557,0.690349796018651,31,Open
ANET,2026-08-06,2026-09-18,192.32000732421875,199.38999938964844,183.80802298720027,3.6761604597440054,3.557574638461941,-0.6477802220478557,4.323940681791861,31,Closed
PODD,2026-08-06,2026-09-18,139.3000030517578,140.60000610351562,46.66198934951899,0.9332397869903798,0.9031352777326257,-0.6477802220478557,1.5810200090382356,31,Closed
DIS,2026-08-06,2026-09-18,104.68000030517578,102.66999816894531,-96.0069798610366,-1.920139597220732,-1.8581996102136116,-0.6477802220478557,-1.2723593751728763,31,Closed
UBER,2026-08-07,2026-09-18,75.0199966430664,70.5,-301.2527889445164,-6.025055778890328,-6.025055778890328,-1.251658726145799,-4.77339705274453,30,Open
DDOG,2026-08-10,2026-09-18,260.7799987792969,229.9199981689453,-591.6864934965533,-11.833729869931068,-12.241789520618346,-1.2222779714754273,-10.611451898455641,29,Open
TPR,2026-08-14,2026-09-18,128.49290466308594,115.0,-525.0447368461682,-10.500894736923366,-12.601073684308039,-1.6434285242300506,-8.857466212693314,25,Open
CSCO,2026-08-14,2026-09-18,111.68000030517578,109.51000213623047,-97.15249655334901,-1.9430499310669802,-2.3316599172803762,-1.6434285242300506,-0.2996214068369296,25,Open
AMAT,2026-08-17,2026-09-18,534.7382202148438,444.57000732421875,-843.1061169930754,-16.862122339861507,-21.077652924826882,-1.1762528659374438,-15.685869473924063,24,Open
KEYS,2026-08-20,2026-09-18,316.510009765625,335.0,292.0917137512779,5.841834275025557,8.345477535750796,0.1286959052958503,5.713138369729707,21,Open
TJX,2026-08-20,2026-09-18,140.69000244140625,127.23999786376953,-478.00143379904694,-9.56002867598094,-13.657183822829914,0.1286959052958503,-9.68872458127679,21,Open
WMT,2026-08-21,2026-09-18,103.69999694824219,106.7300033569336,146.09481667601722,2.921896333520344,4.382844500280516,-0.2792844768620073,3.2011808103823514,20,Open
WMT,2026-08-24,2026-09-18,106.48999786376955,106.7300033569336,11.268921869595943,0.22537843739191885,0.35586069061881925,0.01460204186554126,0.21077639552637759,19,Open
NVDA,2026-08-27,2026-09-18,227.7251739501953,222.27000427246094,-119.77528841250205,-2.395505768250041,-4.491573315468827,-0.9750438170229025,-1.4204619512271384,16,Open
NVDA,2026-08-28,2026-09-18,217.3068389892578,222.27000427246094,114.19717175694768,2.2839434351389536,4.567886870277907,-0.749796779925127,3.0337402150640806,15,Open
MRVL,2026-08-28,2026-09-18,216.6199951171875,244.25,637.7528738255487,12.755057476510975,25.51011495302195,-0.749796779925127,13.504854256436102,15,Open
DELL,2026-09-02,2026-09-18,492.2000122070313,568.0599975585938,770.6215305786491,15.41243061157298,38.53107652893245,-0.2063040649553538,15.618734676528334,12,Open
PANW,2026-09-03,2026-09-18,331.94000244140625,363.5799865722656,476.5919126671761,9.531838253343523,25.9959225091187,-1.2401633112510746,10.772001564594596,11,Open
HPE,2026-09-03,2026-09-18,54.30265045166015,60.7599983215332,594.5702296448071,11.891404592896142,32.431103435171295,-1.2401633112510746,13.131567904147218,11,Open
JBHT,2026-09-17,2026-09-18,236.8000030517578,234.25,-53.84296914895822,-1.0768593829791644,-16.152890744687465,0.1286959052958503,-1.2055552882750147,2,Open
ON,2026-09-18,2026-09-18,69.9800033569336,69.9800033569336,0.0,0.0,0.0,0.0,0.0,1,Open
